Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,128,9,Some Random Commen with Id 0
1,0,8,145,4,Some Random Commen with Id 1
2,0,8,61,0,Some Random Commen with Id 2
3,0,8,121,6,Some Random Commen with Id 3
4,0,8,196,8,Some Random Commen with Id 4
5,0,8,30,2,Some Random Commen with Id 5
6,0,8,173,9,Some Random Commen with Id 6
7,1,2,137,4,Some Random Commen with Id 7
8,1,2,64,6,Some Random Commen with Id 8
9,1,2,172,7,Some Random Commen with Id 9
10,2,6,181,8,Some Random Commen with Id 10
11,2,6,56,8,Some Random Commen with Id 11
12,3,1,125,7,Some Random Commen with Id 12
13,3,1,61,6,Some Random Commen with Id 13
14,3,1,0,8,Some Random Commen with Id 14
15,3,1,198,4,Some Random Commen with Id 15
16,3,1,61,8,Some Random Commen with Id 16
17,3,1,100,1,Some Random Commen with Id 17
18,3,1,159,1,Some Random Commen with Id 18
19,3,1,156,4,Some Random Commen with Id 19
20,4,9,155,6,Some Random Commen with Id 20
21,4,9,75,4,Some Random Commen with Id 21
22,4,9,43,0,Some Random Commen with Id 22
23,6,8,30,3,Some Random Commen with Id 23
24,6,8,142,5,Some Random Commen with Id 24
25,6,8,103,3,Some Random Commen with Id 25
26,6,8,169,1,Some Random Commen with Id 26
27,6,8,194,7,Some Random Commen with Id 27
28,6,8,89,9,Some Random Commen with Id 28
29,6,8,147,1,Some Random Commen with Id 29
30,7,4,183,9,Some Random Commen with Id 30
31,7,4,80,1,Some Random Commen with Id 31
32,7,4,30,7,Some Random Commen with Id 32
33,7,4,78,0,Some Random Commen with Id 33
34,7,4,26,8,Some Random Commen with Id 34
35,7,4,85,2,Some Random Commen with Id 35
36,7,4,94,2,Some Random Commen with Id 36
37,7,4,105,4,Some Random Commen with Id 37
38,8,7,185,3,Some Random Commen with Id 38
39,8,7,25,0,Some Random Commen with Id 39
40,8,7,8,7,Some Random Commen with Id 40
41,8,7,44,8,Some Random Commen with Id 41
42,8,7,88,3,Some Random Commen with Id 42
43,8,7,46,0,Some Random Commen with Id 43
44,8,7,83,8,Some Random Commen with Id 44
45,8,7,27,6,Some Random Commen with Id 45
46,9,7,0,5,Some Random Commen with Id 46
47,9,7,157,5,Some Random Commen with Id 47
48,9,7,162,8,Some Random Commen with Id 48
49,9,7,159,6,Some Random Commen with Id 49
50,9,7,20,6,Some Random Commen with Id 50
51,10,0,179,5,Some Random Commen with Id 51
52,11,3,119,3,Some Random Commen with Id 52
53,12,5,176,7,Some Random Commen with Id 53
54,12,5,33,5,Some Random Commen with Id 54
55,12,5,90,7,Some Random Commen with Id 55
56,12,5,26,5,Some Random Commen with Id 56
57,13,1,4,4,Some Random Commen with Id 57
58,13,1,72,8,Some Random Commen with Id 58
59,13,1,141,0,Some Random Commen with Id 59
60,13,1,159,8,Some Random Commen with Id 60
61,14,6,84,4,Some Random Commen with Id 61
62,14,6,12,8,Some Random Commen with Id 62
63,15,0,64,5,Some Random Commen with Id 63
64,15,0,190,6,Some Random Commen with Id 64
65,15,0,13,9,Some Random Commen with Id 65
66,15,0,147,4,Some Random Commen with Id 66
67,15,0,174,7,Some Random Commen with Id 67
68,16,8,112,6,Some Random Commen with Id 68
69,16,8,175,8,Some Random Commen with Id 69
70,17,0,130,1,Some Random Commen with Id 70
71,17,0,98,6,Some Random Commen with Id 71
72,17,0,198,5,Some Random Commen with Id 72
73,17,0,192,9,Some Random Commen with Id 73
74,17,0,148,3,Some Random Commen with Id 74
75,17,0,198,4,Some Random Commen with Id 75
76,18,6,4,8,Some Random Commen with Id 76
77,18,6,97,8,Some Random Commen with Id 77
78,18,6,99,0,Some Random Commen with Id 78
79,18,6,81,9,Some Random Commen with Id 79
80,19,7,7,3,Some Random Commen with Id 80
81,21,1,33,1,Some Random Commen with Id 81
82,23,1,97,2,Some Random Commen with Id 82
83,24,9,136,1,Some Random Commen with Id 83
84,26,7,160,6,Some Random Commen with Id 84
85,26,7,180,1,Some Random Commen with Id 85
86,27,8,158,6,Some Random Commen with Id 86
87,27,8,154,8,Some Random Commen with Id 87
88,28,2,69,6,Some Random Commen with Id 88
89,28,2,131,1,Some Random Commen with Id 89
90,28,2,0,1,Some Random Commen with Id 90
91,28,2,158,3,Some Random Commen with Id 91
92,28,2,137,7,Some Random Commen with Id 92
93,28,2,196,7,Some Random Commen with Id 93
94,28,2,13,1,Some Random Commen with Id 94
95,28,2,35,7,Some Random Commen with Id 95
96,29,9,132,5,Some Random Commen with Id 96
97,30,8,36,8,Some Random Commen with Id 97
98,30,8,52,4,Some Random Commen with Id 98
99,30,8,182,3,Some Random Commen with Id 99
100,30,8,143,0,Some Random Commen with Id 100
101,30,8,170,9,Some Random Commen with Id 101
102,30,8,82,6,Some Random Commen with Id 102
103,30,8,110,0,Some Random Commen with Id 103
104,30,8,22,2,Some Random Commen with Id 104
105,30,8,128,1,Some Random Commen with Id 105
106,31,0,189,4,Some Random Commen with Id 106
107,31,0,166,8,Some Random Commen with Id 107
108,31,0,137,4,Some Random Commen with Id 108
109,31,0,165,8,Some Random Commen with Id 109
110,31,0,100,3,Some Random Commen with Id 110
111,31,0,33,1,Some Random Commen with Id 111
112,31,0,84,4,Some Random Commen with Id 112
113,31,0,118,7,Some Random Commen with Id 113
114,31,0,197,2,Some Random Commen with Id 114
115,32,9,170,7,Some Random Commen with Id 115
116,32,9,151,0,Some Random Commen with Id 116
117,32,9,70,3,Some Random Commen with Id 117
118,32,9,78,8,Some Random Commen with Id 118
119,32,9,36,3,Some Random Commen with Id 119
120,32,9,27,5,Some Random Commen with Id 120
121,33,9,159,4,Some Random Commen with Id 121
122,33,9,175,8,Some Random Commen with Id 122
123,33,9,182,8,Some Random Commen with Id 123
124,33,9,193,4,Some Random Commen with Id 124
125,34,5,137,5,Some Random Commen with Id 125
126,34,5,104,4,Some Random Commen with Id 126
127,34,5,22,7,Some Random Commen with Id 127
128,34,5,13,4,Some Random Commen with Id 128
129,34,5,3,2,Some Random Commen with Id 129
130,34,5,80,3,Some Random Commen with Id 130
131,34,5,102,0,Some Random Commen with Id 131
132,34,5,156,7,Some Random Commen with Id 132
133,35,2,75,6,Some Random Commen with Id 133
134,35,2,118,7,Some Random Commen with Id 134
135,35,2,154,5,Some Random Commen with Id 135
136,36,8,180,5,Some Random Commen with Id 136
137,36,8,128,0,Some Random Commen with Id 137
138,36,8,161,1,Some Random Commen with Id 138
139,36,8,166,9,Some Random Commen with Id 139
140,36,8,75,0,Some Random Commen with Id 140
141,36,8,15,6,Some Random Commen with Id 141
142,36,8,165,6,Some Random Commen with Id 142
143,36,8,89,1,Some Random Commen with Id 143
144,37,3,57,6,Some Random Commen with Id 144
145,37,3,116,3,Some Random Commen with Id 145
146,37,3,43,8,Some Random Commen with Id 146
147,37,3,119,0,Some Random Commen with Id 147
148,37,3,45,7,Some Random Commen with Id 148
149,37,3,173,7,Some Random Commen with Id 149
150,38,1,188,4,Some Random Commen with Id 150
151,38,1,140,5,Some Random Commen with Id 151
152,39,2,120,3,Some Random Commen with Id 152
153,39,2,134,2,Some Random Commen with Id 153
154,39,2,18,9,Some Random Commen with Id 154
155,39,2,135,6,Some Random Commen with Id 155
156,39,2,105,5,Some Random Commen with Id 156
157,39,2,13,6,Some Random Commen with Id 157
158,39,2,12,9,Some Random Commen with Id 158
159,39,2,42,6,Some Random Commen with Id 159
